max,mean,min,std,var
38830,3089.88,78,8379.196731525046,70210937.8656
4739138,289087.88,201,986287.4565420905,972762946932.2656
3572586,391523.28,2330,868165.9036307527,753712036227.0015
37350974,3256296.92,22918,7714201.3201776575,59508902008230.71
4053897,1188450.16,7556,1352759.0486486994,1829957043700.9343
7357671,902835.56,571,1579853.4660980196,2495936974341.9263
5855786,925010.12,4675,1369672.2223637104,1876001996714.745
11286169,2510783.2,6764,3614729.877407495,13066272086622.402
7155029,1213653.68,564,1927813.3456959096,3716464295843.257
36705270,3139010.8,495,7557773.150661018,57119934996852.56
5651085,1423270.0,1022,1399001.509198271,1957205222739.04
7663491,1200724.12,1830,1770991.584447997,3136411192185.625
10251372,1576583.64,181,2423925.699534916,5875415796865.831
51474489,2941104.92,7514,10029121.648158344,100583281033558.31
9453954,1609095.48,978,2409419.8139470858,5805303839840.81
11147740,2096455.4,20461,3133408.353048303,9818247906952.88
16957916,2563288.52,29410,3804169.3304616725,14471704294825.21
5930490,721290.68,2010,1338296.2421117595,1791036831650.4575
28246527,1660766.16,2703,5469280.498844093,29913029175036.29
41806240,3976050.08,1485,8773029.993661815,76966055269689.84
14600400,2121993.08,5340,3410593.9370622337,11632151003525.672
38084545,3248337.92,11348,7595492.219976466,57691502063723.03
8287393,956352.68,2999,1740571.821526632,3029590265892.5376
16869992,1375694.4,707,3258239.7267998187,10616126117296.56
15209033,1573753.08,3466,2984811.6105560563,8909100350510.234
16916564,2643353.04,54467,4181726.2249482814,17486834220420.2
10999590,2511314.8,4421,3073314.733861288,9445263453368.88
21080528,1948662.56,4965,4437401.648622259,19690533391195.527
6001170,724953.16,1546,1234580.374365758,1524188700769.0947
10248132,2402201.32,730,3101710.8460236164,9620610172340.537
38209810,3733937.12,11794,7812154.275192805,61029754419413.22
13191201,2226982.72,4467,3415527.221276534,11665826199281.0
31058834,3034113.96,1363,6361395.497859622,40467352680188.67
7873349,1262687.36,2392,2105978.788783797,4435146658807.27
26912401,2528555.48,3328,5792702.658009438,33555404084109.6
8902167,1326471.24,287,2015076.8197845812,4060534589633.143
11841065,2179406.56,13853,3279986.7826560163,10758313294398.166
10885681,2461998.88,9048,2835053.3842822686,8037527691730.348
41147642,4494663.16,7773,8508735.768869027,72398584384431.19
51331784,3740589.0,3465,10227711.653018516,104606085657290.72
18240045,2256486.12,3900,4085212.1185780917,16688958053777.305
6352123,1077945.2,3675,1531477.0499170532,2345421954422.64
5691028,1295642.4,3901,1479925.646220917,2190179918342.4
18807139,2389712.8,2550,4355545.292547825,18970774795435.52
5609878,891540.68,1683,1206929.7632507277,1456679453420.4578
5561577,702869.72,4030,1276594.1195660122,1629692546110.522
40055605,3290431.84,1132,9200353.807557974,84646510184246.52
13448748,1657572.8,22869,3296121.5140119083,10864417035132.156
8824957,1350264.56,2169,2191170.5735606267,4801228482438.006
23340684,3124797.68,2484,6240203.805021932,38940143528210.22
9937020,1139522.6,13214,1971424.7217695129,3886515433604.0
16052840,2132640.28,11833,3533140.531502845,12483082015348.205
21751859,1980102.44,4455,4471969.139313857,19998507982975.523
16569175,1485655.96,1374,3321103.955759705,11029731484962.758
11645377,1522167.52,836,2336445.175706464,5458976059082.01
5762645,1219270.56,3757,1614164.0503158304,2605525581332.0063
19112763,2167193.96,601,4327286.313592716,18725406839806.84
8312267,1286460.48,4510,1867430.8166888568,3487297855119.209
38768017,3696101.84,552,8010910.493294893,64174686931582.21
3444224,864480.84,32152,1042358.4735316228,1086511187343.1748
15007747,1585290.28,5220,3033530.3028562814,9202306098347.322
3296965,923611.0,11269,998024.1274994508,996052159071.04
6302201,1530093.72,27906,1709531.0305107548,2922496344279.1626
6227986,1031134.88,1286,1403407.372310815,1969552252656.3457
9244203,1453012.56,4160,2468231.234473984,6092165426832.966
8468153,1697115.84,69212,2695851.552549327,7267615593382.615
3368936,705147.4,4236,928803.8617141944,862676613535.2002
28532555,1874044.12,2676,5526787.466688078,30545379701940.426
31454065,2792049.44,314,6764864.431307164,45763390773964.8
12324114,1334706.16,5915,2421737.0715554017,5864810443745.732
27335312,3308565.24,14559,5873558.548931291,34498690027723.86
7082007,1750816.56,332,2060147.1777876662,4244206394146.4863
27101536,3956633.08,789,6030140.999073287,36362600468704.56
7322307,2129546.56,2991,2188009.3061085287,4787384723617.526
7294409,1527469.84,901,2156847.6837225887,4651991930779.495
6115838,1313275.52,18241,1710935.0810159715,2927298851451.1294
5408507,750658.2,3355,1280390.075179435,1639398744617.9998
5568004,1750066.4,53215,1675891.6445425462,2808612804247.52
12171155,1724993.4,907,2762023.949503349,7628776297630.08
10282055,1519367.8,8569,2468474.2484962484,6093365115489.119
2645438,789484.6,2785,839977.954882817,705562964689.12
16137888,1738510.64,3972,4233211.738483705,17920081622836.227
