max,mean,min,std,var
1001827,40527.44,75,196225.73235986766,38504538040.166405
167735,17832.68,189,39583.84696890387,1566880940.8575995
659904,103333.6,340,178864.11388984657,31992371237.600006
2478120,387437.68,1195,603611.0017810292,364346241471.0976
2306652,489714.52,2135,749068.5115522143,561103634999.0496
3395198,695253.16,521,940467.5253533715,884479166244.2944
9591131,918664.0,5442,2017622.7184432675,4070801433978.4
11434078,1129445.04,10639,2268268.6930767167,5145042863991.959
3955551,754501.88,2116,1020937.0866758957,1042312534950.2656
8446370,1379613.96,6838,2640818.52737985,6973922494552.679
